Collection ID#,Author,Title,Date,Edition,References,Binding,Description,Provenance,Acquired,Price $,Price £,Images
37,"HOBBES, Thomas",Leviathan,1651,"First Edition, later issue",,"Bound in contemporary calf, boards paneled in blind. Rebacked, preserving original calf, boards restored and repaired, new endleaves. ","2° Together with original endleaves, now removed and loose, originally from an account book for work done by Christopher Wren for the Crown, most likely at Hampton Court. 
",,10/4/15 Heritage Auctions,1500.00,,
38,"MORE, Thomas","Omnia, quae hucusque, Lovanii: Petrum Zangrium",1565?,First Edition,,"Contemporary vellum (text has separated from binding). Worn, chipped, soiled.",Small 2°,,11/04/15 Heritage Auctions,340.00,,
39,"BEAUMONT, Francis and FLETCHER, John",A King and No King,1631,3rd Edition?,"Greg II, 360(c); STC 1672?","Modern boards, partly darkened, missing portions of backstrip, front cover partly detached, rear cover starting","2° Lower margins trimmed without text loss, contents toned with occasional soiling, scattered minor stains or ink smudges.",,10/17/17 Swann Galleries,281.00,,
40,"DONNE, John",Letters to Severall Persons of Honour,1651,First Edition,Keynes 55; Pforzheimer 295; Wing D1864,"Contemporary sheep, rebacked in the 19th-century, spine ends, joints, and cover edges worn;","4° Portrait trimmed and inlaid, light dampstain in lower margin of opening leaves, contents otherwise generally clean. Bookplates on front endpapers. ",,10/17/17 Swann Galleries,1063.00,,
41,"LOCKE, John",An Essay concerning Humane Understanding,1694,"Second Edition, enlarged Second issue with Churchill/Manship imprint",Wing L2740; Yolton 62B; Garrison-Morton 4967; Printing and the Mind of Man 164 (citing the 1690 orginal ed.),Modern panelled leather,"2° Dark stains in margins of preliminaries and index leaves, small hole in portrait causing minimal image loss, 19th-century institutional stamp on title and elsewhere, ink blot on G1, pencil marginalia on page 395, old catalogue cuttings mounted on blank last page. Signature of Daniel Tyerman dated Newport, Isle of Wight, 1804. ",,10/17/17 Swann Galleries,1188.00,,
42,"SHAKESPEARE, William",The Dramatic Works,1802,,,"Modern 1/4 black calf over marbled boards, spine in 7 compartments with lettering pieces in 2, very minimal rubbing, a few corners bumped; ","2° in 9 vols Half-titles and 96 copper engravings after Reynolds, Fuseli, Northcote, Bunbury, Hamilton, Smirke, Stothard, and many others.",,11/14/17 Swann Galleries,3750.00,,
43,"DICKENS, Charles",The Mystery of Edwin Drood,1870,First Edition in Serial,,"Original wrappers (part VI has the first issue price sticker). Some wear, chipping to spines of parts, some thumbsoiling to wrappers. Chemised in slipcase.","8° in six parts; this copy has the very rare ""Cork Hat"" ad present in part II. ",,3/8/17 Heritage Auctions,480.00,,
44,"SHAKESPEARE, William","The Plays of William Shakspeare, Accurately Printed from the Text of the Corrected Copy Left By the Late George Steevens, Esq. ",1803,First Edition,,"Full Leather. Uniformly bound in contemporary polished diced calf with gilt detail to spine and boards, gilt stamped titling to the spine a little rubbed, bindings very good with light rubbing to joints and spine but all joints sound and all boards securely attached, a little general wear to edges and corners, but not affecting the integrity of the binding, discreet repair to a few.",Large 8° 10 vols bound in 21 volumes,,8/29/17 Loe Books,1122.43,,
45,"STIRLING, William Alexander, Earl of.",Recreations with the Muses,1637,First Edition,,"Bound in full speckled calf, expertly rebacked to match, preserving the 2 previous gilt lettered red morocco labels, triple gilt border to covers with small patterned edge, gilt raised bands to spine, gilt inner dentelles (turn ins), all edges red and gilded, marbled endpapers","Small 2° in sixes, divided into 3 parts, engraved architectural title page, the second and third parts with dated letterpress title pages, a few woodcut initials and headpieces, pages",Small bookplate of Charles Tennant on front pastedown.,8/6/17 Roger Middleton,1067.76,,
46,"SENECA, Lucius Annaeus",Tradoediae,1506?,Second Edition,,"Italian binding, perhaps 100 years old, with vellum spine and paper covered boards.",,"Has owner signature ""Agapoti Borgia"" in humanistic cursive",6/5/17 The Owl at the Bridge,750.00,,
47,"PRIOR, Matthew",Poems on Several Occasions,1718,First Edition,"Rothschild 1676; Foxon, page 641. ","Contemporary calf rebacked with new endpapers, red and green morocco labels, gilt lettering. Enclosed in a brown cloth slipcase.",8°,,10/4/17 The Brick Row Book Shop,450.00,,
48,"FOXE, John",An Abridgement of the Booke of Acts and Monumentes of the Church,1589,,STC 11229; ESTC s102503,Recent dark brown quarter calf-leather; antique style. Marbled boards. Raised bands; lettered spine. ,4° Pages generally well-read and have edge-wear and a few small tears. Sold with all faults; Texts starts at page 3. Title-page and pages 1 &2 supplied in facsimile. A few marginal marks and contemporary notes. A handful of corners torn.,,8/23/17 Rosley Books,625.71,,
49,"DICKENS, Charles",Dealings with the Firm of Dombey and Son,1846-48?,,,,,,? Alcuin Books,1214.00,,
50,"LIVIUS, Titus",The Romane Historie,1600,First Edition; Philemon Holland (trans),STC 16613; ESTC S114001; Pforzheimer 495,Modern half calf.,"2° Woodcut allegorical device on title, woodcut portrait of Elizabeth I on title verso, woodcut headpieces, decorative and historiated initials; copy washed, antique and modern annotations in margins, wormholes, large but light dampstaining, some small inkspots, lacking initial and final blank leaves, repair on Bbbbbbb4, Hhhhh3 bound with upper left corner folded. ",,10/26/2016 The Fox Pointe Manor Library,2400.00,,
51,"SHAKESPEARE, William",The Plays…,1765,,,Modern morocco by Bayntun-Riviere,"8° Engraved portrait, occasional spotting, vol.1 and 5 with occasional slight damp-staining at head of page",,12/14/17 Bloomsbury London,,900.00,
52,"IONESCO, Eugene",L’Impromtu pour la Duchesse de Windsor ,1957,MS,,Affixed page-by-page within a custom-made leatherbound slipcased album. ,Thirty-three lined pages.,"A printed slip laid into the book reads, “With the compliments of the private secretary of the Duke and Duchess of Windsor.” ",5/1/2016,1485.93,,
53,"DICKENS, Charles",Our Mutual Friend,1864-5,First Edition in Serial,,"Original green pictorial printed wrappers (some chips and tears, occasional staining); all housed within green cloth portfolio and slipcase. ","8° 20 parts in 19. Half-titles, 'To the Reader' slip tipped to first text leaf. Wood-engraved frontispiece and 39 wood engravings after Marcus Stone by Dalziel and W.T. Green, advertisements (occasional light spotting, lacking only the ‘Economic Life Assurance Society’ ads in parts 14 and 19/20; the Mappin, Webb & Co. ad not in part 16 but instead bound into part 18). ",,,,,
54,"SHAKESPEARE, William",The Plays of William Shakspeare,,,,,21 vols,,7/25/17 Towns End Books,,,
55,MERCATOR,The Atlas,1578?,First Edition,,"Including Ptolemy's twenty-seven maps, carefully restored, handsomely engraved, and supplemented by an index of place names and an enlarged boundary map of the Nile Delta.",,,?,?,,
56,VIRGIL,L'Opere di Vergilio,1593,,,"Full early calf, spine in five compartments with raised bands, red lettering- piece. Marbled edges.","8° Lacking one text leaf (no. 60) and one blank leaf (no. 96). Contains 23 fine woodcut illustrations, 10 of them repeats.","Contains the bookplate of David Garrick, drawn and engraved by L. Wood, with cartouche, garlands, musical instruments and a theatrical mask, surmounted by a portrait bust of the great Thespian himself. ",1/23/18 Boston Book Company,1500.00,,
57,"SWINBURNE, Alergnon","Prolusions: or, Select Pieces of Antient Poetry, - Compil'd with Great Care From Their Several Originals and Offer'd to T",1760,First Edition,,Bound in later full polished calf leather rebacked with the original gilt-decorated spine,Small 8°,This copy particularly notable as being poet Algernon Swinburne's copy with two pages (on one leaf) of MANUSCRIPT bound in at the end consisting of the lines not printed within in Sackvile's INDUCTION from MIRROR FOR MAGISTRATES and containing @250 words.,1/22/18 Charles Agvent,2000.00,,
58,"SHAKESPEARE, William","The Dramatick Writings of Will.Shakspere, With the Notes of all the various Commentators; printed complete from the best edition",1788,First Edition,,This set is in contemporary full leather with series title and volume labels to spine. The bindings are bright and clean and generally in very good sound condition. There is a little scuffing and wear at the top and bottom of the spine (and sometimes the board very close to the spine) and occasionally lining vertically down the spine (in the larger volumes) but all are sound. Occasional leather wear to corners.,In 20 vols. The original endpapers are present and one volume has the original page marker. The contents are generally very clean and in very good condition. There is the odd mark and some plates lack their tissue-guards. Please enquire if you would like to see additional images or a full collation and description of all volumes. ,,1/28/2018 E C Books,1766.38,1250.00,
59,"MASSINGER, Philip","The Bond-Man : an ancient storie, as it hath beene often acted with good allowance at the Cock-Pit in Drury-Lane, by the Most Excellent Princesse, the Lady Elizabeth her servants",1638,First Edition,,"Previous owner name in ink on top of Right Honourable page title/year/author in gilt on spine, heavy rub marks to spine, moderate loss to spine tips/tops, heavy rubbing with some loss to leather board corners, average shelf wear","8° TEG with minimal blemishes, fore-edge and bottom text block edge stained burgundy with some fading and foxing, moderate age spotting/foxing throughout, sunned pages, cracked hinge at title page, binding a bit shaky but intact, few pencil marks throughout, previous owner bookplate to front pastedown",,? Mark Lavendier,3000.00,,
60,"JONSON, Benjamin",The Works of Ben Jonson,,,,"In contemporary panelled calf (a little worn), respined and recornered in matching leather with five raised spine bands, gilt-lettered red morocco spine label to second compartment and blind tooling to spine bands and remaining compartments.",2° First complete single-volume edition,,1/19/18 Lyppard Books,1137.58,,
61,"JONSON, Benjamin",The Works of Ben Jonson,1616,First Edition,"Pforzheimer, 561",A recent fine binding in full brown calf with raised bands and gilt centres on the spine and blind-ruled lines on boards. ,"This volume contains all of Jonson's masques, epigrams, plays, verse letters and panegyrics; sonnets, the English Grammar, Timber, or Discoveries; and the translation of Horace's de Arte Poetica.",,2/12/18 Bellcourt Books,1236.87,,
62,"JONSON, Benjamin",The Works of Ben Jonson,1640,Second Edition,"Pforzheimer Library, Volume II, page 578-579, Hazlitt, Second Series Volume 3 of Bibliographical Collections and Notes on Early English Literature 1474-1700, page 320.","Rebound in full modern calf, gilt lettered crimson morocco label, gilt date at foot of spine, heavy gilt decoration to spine, gilt decoration and rules to edges of covers, blind decoration to covers, edges red, new endpapers, housed in a brown cloth slipcase.","Small 2° in sixes Without title page, portrait and all prelims, the book opens up on B1 with the title page to Everyman in His Humour followed by the dedication 'To the most learned and my honour'd friend Mr. Cambden Clarentiaux'. Slightly trimmed copy, page 131 in Masques torn with substantial loss, small wormhole in second part from page 5-128 and several small worm holes from 131 to the end, mostly affecting blank areas but occasionally affecting a letter, 2 small holes in text just affecting letters but no loss of meaning, 1 small hole to blank margin, last page has tip of lower corner repaired, not affecting text and a small hole to top margin, not affecting text, 1 page has tip of top corner missing, not affecting text, 3 pages have smallpatches of pale browning, all text legible, occasional small pale brown marks and pale staining mostly to margins, 'Ben Johnson' written in old ink in blank margin of page 99, second part.",,2/13/18 Roger Middleton,2575.65,1800.00,
63,"BEAUMONT, Francis and FLETCHER, John",The Works,,,,"Half glossy blond calf, back with 5 [nerves] adorned with a golden wheel, golden title on old red morocco piece, golden [tomaison] on piece of morocco ebony, nets, irons and gilded florets in the boxes, garlands head and tail.",8° in 10 vols,Charles D.C. Ellis bookplate,2/6/18 Librarie Fauguet,567.13,,
64,"BEAUMONT, Francis and FLETCHER, John",The Works,,,,,The Text formed from a New Collation of the Early Edition. With Notes and Biographical Memoir by The Rev. Alexander Dyce  ,,1/24/18 James Cummins Bookseller,650.00,,
65,"STERNE, Lawrence","The Life and Opinions of Tristram Shandy, Gentleman",1760,"First Edition, vols 3-9; Second Edition, vols 1-2",,"Half leather over marbled boards, five raised spine bands between single gilt fillets, gilt lettered read leather labels to second compartments gilt volumes direct to spine in fourth compartments, housed in a matching felt-lined slip case.","8° in 9 vols. Complete with Hogarth's frontispiece to volumes 1 and 3 (the frontispiece to vol. 1 in its first state without hat or clock), the black page, blank page, an attractive rentition of the hand-produced marbled page, and Sterne's signatures to vols 5,7, and 9",Neat early ink ownership to title pages,1/31/18 Lyppard Books,,2395.00,
66,"SHAKESPEARE, William","The Plays of William Shakespeare, Accurately Printed from the Text of the Corrected Copies Left by the Late George Stevens, Esq., and Edmond Malone, Esq. with Mr. Malone's Various Readings.",1823,,,"In contemporary tan full calf, all vols. re-spined to style with the original bindings in the early twentieth century. Title labels to vols. I and II recently replaced to style. With gilt titles to red and brown labels on spines, and further gilt tooling. Grey end-papers.","8° in 8 vols. With an engraved frontispiece of the Bard to vol. I. Small armorial stamp in black ink to each title page. Boards heavily worn especially to edges; lighter wear to spines, but obviously well-used. Internally clean; a good set overall. ",,1/28/18 Harrington Books,,225.00,
67,"SHAKESPEARE, William","The Plays and Poems of Shakespeare, With a Life, Glossarial Notes, and One Hundred and Seventy Illustrations from the Plates in Boydell's Edition.",,,,,,,,,875.00,
68,"SHAKESPEARE, William",The Works of ... with the corrections and illustrations of Dr. Johnson and G. Steevens. Revised by I. Reed  ,,,,,,,2/1/18 James Cummins Bookseller,2500.00,,
69,"SHAKESPEARE, William","Shakespeare, translated from the English, dedicated to the King.",,,,"Bindings in light brown half-sheepskin with corners. Smooth backs, decorated with golden threads. Title, author and [tomaison coins]. Marbled paper on the boards. ",20 vols. First Edition collective of works of Shakespeare in French. Quoted by Brunet. If the bindings are a little rubbed inside is very fresh.,,2/27/2018 Librari de l'Univers,2547.46,,
70,"GUTHRIE, Woody",,14-Dec-49,,,,"Fantastic autograph lyrics for an apparently unpublished song, titled and signed at the top, ""Casing Her Joint, Talking Blues, Woody Guthrie,"" one page. In fine condition, with a small crease to the upper left corner. A marvelous example of Guthrie's folk-story songwriting, replete with his humor and home-spun vernacular.",,??,1500?,,
71,"BEAUMONT, Francis and FLETCHER, John",The Works,1812,,,"Pleasing contemporary green half calf over marbled boards, flat spines gilt in double-ruled compartments with curling cornerpieces, each spine with red morocco label. Spines sunned to a soft olive brown (one spine somewhat discolored and scratched, as if sanded), joints a bit rubbed and flaked (the top of two spines slightly chipped, three joints with short splits), boards with minor chafing, but the original bindings quite sound, with no fatal defects, and still providing an attractive appearance on the shelf.","With frontispiece portraits in the first two volumes and facsimiles of the authors' writings.  Plates, facsimiles, and a couple of text openings noticeably foxed, intermittent minor foxing elsewhere, but still an excellent reading set, the text generally clean and quite fresh.","Front pastedown with armorial bookplate of Holland House. This is an important edition of major early English drama, and although the set has seen better days, those better days took place in a social setting that could hardly have been more celebrated. Our set contains the bookplate of the Fox family (Fairbairn 32.12), presumably that of Henry Fox, 3rd Baron Holland and comes from the library of Holland House, the vast and immensely important home still standing in Holland Park, Kensington. Constructed beginning in 1606, and purchased in 1767 by Henry Fox, grandfather to the 3rd Baron, the house had a long history of social prominence. The hospitality of our Henry Fox and his wife during the first four decades of the 19th century was legendary in literary, social, and intellectual circles, with frequent dinner guests at the mansion including the likes of Byron, Dickens, Disraeli, Scott, Thomas Moore, Jeremy Bentham, Faraday, Humphry Davy, Melbourne, Palmerston, and many more. The present set contains the dramatic works of probably the most famous and productive of Shakespeare's immediate successors (along with Ben Jonson) and includes such well-known works as ""The Knight of the Burning Pestle,"" ""Wit Without Money,"" ""The Island Princess,"" ""The Faithful Shepherdess,"" and ""The Maid's Tragedy."" Francis Beaumont (1584-1616) and John Fletcher (1579-1625) began a successful collaboration around 1608, and were noted for their ""sensational"" tragedy, which Day distinguishes from the Shakespearean by an ""emphasis upon the theatricality of startling scenes rather than in the overall concept of man's tragic destiny"" as well as a ""conscious manipulation of scenes to create diversity and contrast instead of a pervasive tone,"" and a ""sentimentalization of its chief figures."" The present set represents the most ambitious work of our editor Weber, who led a colorful if lamentable life. Beginning in 1804, he was amanuensis to Scott, who helped find him additional literary employment. His work was respected, but he was afflicted with bouts of insanity, particularly when stimulated by drink. On a particular occasion in the year after the present set was published, Weber was seized by a fit of madness, produced pistols, and challenged Scott to a duel. After a parley, dinner(!), and forceful persuasion, Weber was institutionalized, and he died in an asylum at York in 1818. (ST11462a-072)",? Philip Pirages,700.00,,
72,"SHAKESPEARE, William",The Plays of William Shakespeare,1803,First Variorum Edition,,,,,2/8/18 Blofield Books,694.11,,
73,"SIDNEY, Sir Philip","The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now the eighth time published, with some new Additions. With the supplement of a Defect in the third part of this History, by Sir W. A. Knight. Whereunto is now added a sixth Booke, By R. B. of Lincolnes Inne, Esq.",1633,Eighth Edition,,Decorative [Orla Woodblock] enclosing the title in cover. ,2° ?,,2/5/2018 Andarto B,887.30,,
74,"BANDELLO, Matteo. ",Premier et Second Thome des Histoires Tragiques,1568,,,19th-century crimson morocco by Chambolle-Duru,"8° Contents washed with light residual toning. French translation by Pierre de Boaistuau and François de Belleforest. Selection of 36 stories from Bandello's collection of 214 novelle, ""the largest and most influential . . . of the sixteenth century"" (Wilkins). The Italian original was first published in 3 parts in 1554, with a fourth appearing posthumously in 1573. In various translations it was drawn upon by Shakespeare, Webster, Massinger, and Beaumont and Fletcher. Wilkins, page 232-34.","Morocco booklabels of Isidoro Fernández (1878-1963) on pastedowns, his gilt supra-libros added on covers.",??,2295.00,,image in word file
75,"SENECA, Lucius Annaeus","Tragoediae. With commentary by Gellio Bernardino Marmita, Daniel Caietanus, and Josse Bade, edited by Desiderius Erasmus. ",1514,,,"Old limp vellum with spine title in ink and remnants of thong ties; occasional marginal foxing and soiling,",2° Title in red and black with Bade printing press device within woodcut historiated architectural border; woodcut criblé initials of various sizes. Name of Erasmus and old inscriptions inked out on title. ,,??,1283.00,,
76,"FIELDING, Henry","The History of Tom Jones, a Foundling ",1750,Fourth Edition,,"Contemporary mottled calf, gilt, red morocco spine labels. Chipped and worn, front hinges in vols. I & II repaired.",12° ,"Richard Brinsley Sheridan's (1751-1816) copy of the fourth edition of Tom Jones. In 1778 Sheridan and David Garrick brought Fielding's lost play The Fathers: or, the Good-Natur'd Man to Drury Lane for the benefit of Fielding's widow. A manuscript fragment of the play had been found among the papers of Sir Charles Hanbury Williams and identified as Fielding's by Garrick. It ran for nine nights, the house packed with Fielding's friends, and brought his widow Mary much needed relief. [more in Word file] ",?? James Cummins Bookseller,3500.00,,
77,"SHERIDAN, Richard Brinsley","The Critic or A Tragedy Rehearsed, A Dramatic Piece in Three Acts, As it is Performed at the Theatre Royal in Drury Lane. ",,,,"3/4 leather and marbled boards and has been bound by a company (signed binding) which appears to be ""Botheran and Co. Strand, London"". Spine with 6 compartments and 5 bands with beautiful gold tooling and stamped gold designs along with title (Compartment2) and date (Compartment 6)."," 98 pages. It is most interesting in that the first 6 pages repeat themselves, this includes the 2-page dedication to Mrs. Greville, 2-page prologue to the Honorable Richard Fitzpatrick, and the list of characters and the names of the actual players. The pages are clean , tight, and complete. There is no half-title as called for in later editions (Second through sixth) Ahearn, Collected VBooks p. 600 or the ads on the last page.",,3/24/18 Barry's Books,750.00,,
78,"PEPYS, Samuel","Memoirs of Samuel Pepys, Esq. F.R.S. Secretary to the Admiralty in the Reigns of Charles II and James II Comprising His Diary from 1659 to 1669, Deciphered by the Rev. John Smith...From the Original Short-Hand Ms. in the Pepysian Library, and a Selection from His Private Correspondence. Edited by Richard. Lord Braybrooke.",1825,Second Edition,,"Recent half polished tan calf over pastepaper boards by Bayntun Riviere, gilt-decorated spines in 6 compartmnents, red and black morocco labels in 2, t.e.g","8° 10 engraved plates (some folding), folding facsimile of Pepys's shorthand; 3 instances of ink underlining on pages xxxvii, and xxxix, and in the footnote of p. lvii in vol. I, plus the note at the bottom of the frontispiece portrait, ""died 304 years ago."" Also, evidence of bookplate removal on verso of front free endpaper. ",,? Rulon-Miller Books,450.00,,
79,"CIBBER, Colley","An Apology for The Life of Mr. Colley Cibber, Comedian, and Late Patentee of the Theatre-Royal",1740,,,"Handsomely bound in full black leather with nice gilt stampings in a clamshell box with black spine and red cloth., very good++, bound 1971, full leather (hardcover) clamshell box.",,,"3/15/18 Ray Boas, Bookseller",175.00,,
80,"GUICCIARDINI, Francesco","The Historie of Guicciardin: Containing the Warres of Italie and Other Partes, Continued for manie yeares under sundrie Kings and Princes, together with the variations and accidents of the same.... Reduced into English by Geffray Fenton",1599,,STC 12459 Davenport: English Heraldic Book-Stamps. p.159 citing this book,"Full contemporary calf, blind 3-fillet borders, armorial supra-libris of Queen Elizabeth I in gilt on both ccovers, sometime expertly rebacked with the old back laid on in 4 of the 5 compartments, corners repaired, sound. ","2° A-Z, Aa-Zz, Aaa-Zzz, Aaaa-Hhhh6, lacking first and last blanks, Tt2 partly detached frayed at edges with a mended tear, stubs before Tt1 and Tt5 so that maybe parts of sig. Tt are cancels(?), 2 small wormholes in upper margin of last 100 leaves. . Ink inscription at the head of A6r “Master William Thomas his booke” in a 17th century hand, a 19th (?) century armorial bookplate of “Frederick Martin Burton” on front pastedown.",,? H.M Fletcher,,2000.00,
81,"SIDNEY, Sir Philip",The Countess of Pembroke's Arcadia ,1662,Eleventh Edition,,"Original blind-stamped full calf boards, rebacked with a modern morocco spine, with gold lettering. Raised bands. Leather cracked on the original covers. ","Large 2° Publisher's woodcut device on title page. Decorative head-, tailpieces and initials. Some foxing, age-toning, and minor and sporadic chipping at upper margin of title page (not affecting lettering). Minor and sporadic foxing throughout. This edition also includes a biography of Sir Philip Sidney; Sonnets written by Sir Philip Sidney, and never before published; ""The Defence of Poesie""; ""Astrophel and Stella""; ""A Remedy for Love,"" etc. ",,4/14/18 Eric Chaim Kline-Bookseller,?,,
82,"BURTON, Robert","The Anatomy of Melancholy : What It Is, with All the Kinds, Causes, Symptomes, Prognostickes, & Seuerall Cures of It : In Three Partitions, with Their Severall Sections, Members & Subsections Philosophically, Medicinally, Historically Opened ",1638,Fifth Edition,"STC 4161 (3rd edition). Printing in the Mind of Man 108; Garrison-Morton 4918; Lowndes I 328. Pforzheimer I 119. Norman 381, ""the classic study on depression"". (all citing 1st ed)","3/4 modern brown crushed Moroccan over marbled boards, gilt, red leather spine label raised bands. Fine binding and cover.","2° Title page and following page are early 20th century facsimiles of the 3rd edition. Last page and 2 pages after the frontis have been conserved. Later owners name on title page. Dampstaining, affecting text, ruffling to pages. Tears to a few pages. Scattered spotting. ",,4/18/18 SequiturBooks,1715.00,,
83,"SHADWELL, Thomas",Bury-Fair. A Comedy as it is Acted by His Majesty's Servants,1689,First Edition,ESTC R18450. WING S2836. SUMMERS 73. NCBEL II:745,Later plain wrappers. Cloth slipcase and chemise. ,"4° Lacks terminal advert leaf, somewhat browned and foxed, a few lower margins untrimmed, old tidemark in upper fore-margins of a number of leaves, some fraying at tips, just a good copy.",,? William Reese Company,350.00,,
84,"HOMER, George Chapman, trans.",Odyssey and Iliad,1615? 1611?,First Edition,"Pforzheimer Volume I, pages 167-170, Nos 169 and 170","Bound together in full modern panelled calf with blind stamped decoration, gilt decorated raised bands, richly gilt in compartments, gilt lettered red morocco label, new cream endpapers. ","2° in sixes. Odyssey: 24 books, engraved title page (A2) showing Homer in centre surrounded by shadowy figures, with seated Pallas and Ulysses below, title inscribed in cupid-supported decorative panel at top, some decorated head- and tailpieces and initials. Iliad: Lacking engraved title page",,5/13/18 Roger Middleton,3681.31,,
85,"TERENCE, CICERO, Erasmus, trans.","Terrance Comedies, Cicero's Letters","1532,  1514",First Erasmus Edition,"Terence: USTC 661434, citing 31 copies globally, with 4xUK and 1xUS institutional locations. Cicero: USTC 822083, citing just 2 copies globally, both in Italy. ","Original early 16th century binding. Contemporary blindstamped half pigskin over bevelled oak boards with three raised double spine bands and traces of manuscript ink title to top compartment, lightly worn with very minor loss to lower corner of front board, brass hasps to front board, clasps and straps missing from rear board, a few wormholes to boards, two neat repairs to pigskin, a very attractive and well preserved contemporary binding with blindstamped panels containing floral motifs and medallion busts.","2° In Roman letter throughout, Terence in single column, 40 lines per page, with numerous decorative capitals, Cicero in single column, up to 40 lines per page, surrounded by extensive commentary of 60 lines per page, with numerous decorative capitals. Top quarter of Terence title page sometime supplied from another copy (slightly lighter in tone), additional example of Froben's device pasted to reverse of Terence title-page. Cicero titlepage very lightly soiled and with two small early marginal ink stains, sporadic early ink annotations, small tears to inner margin of final page well clear of text, front and rear endpapers missing, early ink annotations to pastedowns, a few unobtrusive light spots and stains, sporadic wormholes touching the occasional letter but otherwise complete, clean and unmarked. Numerous woodcut decorative capitals to Terence by Holbein depicting figures from classical mythology, with Froben's woodcut device to title page and reverse of final leaf; numerous woodcut initials to Cicero together with 16 in-text woodcuts of varying sizes up to a quarter of a page, title page with woodcut of St.George and the Dragon and set within ornate woodcut frame, woodcut at end of opening Tabula similarly set within attractive ornamental surround, Rusconibus’ woodcut printer’s device at colophon on final leaf.",,? Lyppard Books,4092.00,,
86,"JONSON, Benjamin",The Work in seven Volumes,1756,First Critical Edition,,"Contemporary polished calf, gilt, spines elaborately gilt, red and black morocco spine labels, joints slightly rubbed","8° With the portrait frontispiece, eleven engraved plates, half-titles, and list of subscribers in vol. I",Armorial bookplate of John Bacon Sawrey Morritt of Rokeby Park,? Bernard Quaritch,782.00,,
